331 5016309.984 5375686.03 4.6
331 5016309.631 5375685.893 4.611
31 5016312.24 5375679.836 4.551
33.7 5016316.573 5375673.34 4.534
77 5016320.468 5375676.813 2.304
77 5016320.614 5375676.445 2.535
30 5016312.197 5375680.243 2.236
30 5016310.364 5375683.875 2.242
55 5016308.167 5375690.563 2.097
55 5016308.01 5375690.962 2.049
133 5016307.448 5375691.6 2.041
55 5016307.424 5375692.795 2.071
55 5016307.336 5375693.221 2.073
30 5016306.465 5375695.399 2.038
88 5016306.289 5375698.978 2.088
133- 5016353.728 5375709.461 2.684
133- 5016351.31 5375702.357 2.681
3 5016381.371 5375690.191 2.807
3 5016390.405 5375713.007 2.652
3 5016414.222 5375703.729 2.689
3 5016408.479 5375685.434 2.903
3 5016401.555 5375665.228 2.67
3 5016377.198 5375673.091 2.629
3 5016359.04 5375678.574 2.614
31.7 5016361.466 5375759.339 3.186
30 5016361.032 5375757.899 3.138
31 5016362.944 5375757.206 4.634
30 5016363.831 5375756.905 4.656
31 5016365.946 5375756.212 5.774
31 5016367.502 5375755.542 5.75
30 5016366.966 5375757.763 5.865
30 5016367.877 5375757.498 5.905
3- 5016369.73 5375762.413 9.242
3- 5016368.759 5375762.724 9.242
31 5016371.879 5375768.348 13.634
31 5016371.073 5375768.69 13.641
133 5016368.654 5375770.117 13.719
133 5016362.971 5375772.167 13.688
133 5016357.29 5375774.216 13.741
31 5016357.229 5375773.777 13.708
31 5016358.09 5375773.412 13.705
3- 5016356.526 5375768.721 10.236
3- 5016355.578 5375769.125 10.244
30 5016353.158 5375762.776 5.926
30 5016354.08 5375762.42 5.921
33 5016352.704 5375760.899 5.822
31 5016353.65 5375760.573 5.85
30 5016355.76 5375759.834 4.665
31 5016356.622 5375759.491 4.655
30 5016358.639 5375758.834 3.178
30.5 5016359.109 5375760.209 3.196
5 5016366.744 5375756.46 3.219
5 5016367.116 5375756.329 3.224
5 5016366.876 5375756.764 3.233
30 5016372.176 5375753.851 3.206
30.5 5016372.731 5375755.317 3.203
31 5016370.522 5375754.427 4.632
30 5016369.646 5375754.819 4.63
30.5 5016378.341 5375753.238 3.307
30 5016377.835 5375751.77 3.198
31 5016379.849 5375751.128 4.719
30 5016380.711 5375750.804 4.725
31 5016382.815 5375750.104 5.799
31 5016384.391 5375749.511 5.822
30 5016384.733 5375751.368 5.901
30 5016383.725 5375751.733 5.906
3- 5016385.349 5375755.861 8.801
3- 5016386.253 5375755.586 8.806
31 5016388.723 5375762.34 13.644
31 5016387.862 5375762.695 13.652
133 5016385.673 5375763.979 13.702
133 5016380 5375765.996 13.746
133 5016374.364 5375768.051 13.728
77 5016357.304 5375774.626 14.049
77 5016355.74 5375770.171 10.716
77 5016355.116 5375770.412 10.705
70 5016352.538 5375763.412 5.926
7 5016372.95 5375768.882 14.024
7 5016387.281 5375763.725 14.02
133 5016391.208 5375761.897 13.635
133 5016396.78 5375759.856 13.715
7 5016400.22 5375759.114 13.975
133 5016402.485 5375757.823 13.709
133 5016403.23 5375757.533 13.677
31 5016405.571 5375756.283 13.648
31 5016406.394 5375755.977 13.642
7.55 5016408.8 5375756.068 14.03
55 5016407.413 5375752.195 11.258
3- 5016404.338 5375749.983 9.286
3- 5016403.353 5375750.324 9.27
30 5016401.487 5375745.434 5.926
30 5016402.454 5375745 5.917
31 5016400.491 5375743.656 5.775
31 5016402.056 5375743.014 5.79
30 5016404.153 5375742.23 4.693
31 5016405.037 5375741.888 4.685
30.5 5016407.663 5375742.755 3.254
30 5016407.082 5375741.214 3.253
7 5016408.21 5375737.788 3.16
7 5016408.084 5375737.404 2.459
5 5016401.648 5375743.808 3.252
5 5016401.299 5375743.927 3.238
5 5016401.429 5375744.223 3.277
30 5016395.481 5375745.403 3.252
30.5 5016396.055 5375746.899 3.327
31 5016397.476 5375744.682 4.726
30 5016398.345 5375744.355 4.732
30 5016389.328 5375747.659 3.219
30.5 5016389.902 5375749.112 3.285
31 5016387.481 5375748.444 4.738
30 5016386.562 5375748.742 4.726
5 5016384.017 5375750.225 3.239
5 5016383.664 5375750.349 3.232
5 5016383.742 5375750.635 3.219
139 5016398.603 5375740.091 2.441
6 5016408.69 5375735.705 2.508
6 5016408.662 5375735.65 2.448
6 5016406.132 5375724.825 2.398
6 5016405.841 5375724.633 2.386
888 5016312.023 5375741.801 5.025
888 5016309.09 5375737.513 5.099
888 5016307.811 5375738.437 4.994
888 5016310.71 5375742.731 4.964
55 5016314.619 5375739.961 -1995.221
55-- 5016352.409 5375764.302 -1982.566
55-- 5016352.408 5375764.303 -1982.566
55-- 5016357.7 5375778.446 -1983.359
133 5016344.215 5375729.11 -1997.48
133 5016343.198 5375729.476 -1997.403
133 5016338.625 5375720.28 -1997.506
133 5016338.111 5375720.471 -1997.462
133 5016337.532 5375718.869 -1997.509
133 5016337.534 5375718.87 -1997.508
133 5016338.051 5375718.681 -1997.551
133 5016342.92 5375715.307 -1997.419
133 5016341.7 5375715.739 -1997.35
133 5016342.502 5375714.104 -1997.446
133 5016341.28 5375714.526 -1997.376
133 5016342.058 5375712.89 -1997.475
133 5016341.412 5375711.104 -1997.48
133 5016340.963 5375709.883 -1997.459
133 5016342.918 5375715.306 -1997.328
133 5016341.698 5375715.74 -1997.259
133 5016342.499 5375714.104 -1997.35
133 5016341.278 5375714.525 -1997.286
133 5016342.06 5375712.892 -1997.378
133 5016337.165 5375714.925 -1997.317
133 5016335.99 5375714.425 -1997.293
133 5016334.775 5375714.892 -1997.224
133 5016334.309 5375713.684 -1997.269
133 5016335.299 5375712.639 -1997.312
133 5016335.511 5375713.209 -1997.29
133 5016336.6 5375712.115 -1997.116
133 5016336.805 5375712.691 -1997.099
133 5016338.204 5375706.001 -1997.421
133 5016337.773 5375704.789 -1997.463
133 5016337.337 5375703.573 -1997.508
133 5016333.541 5375707.83 -1997.082
133 5016333.117 5375706.623 -1997.124
133 5016332.682 5375705.409 -1997.167
133 5016330.082 5375713.463 -1996.784
133 5016329.646 5375712.292 -1996.827
133 5016334.668 5375698.666 -1997.486
55- 5016352.127 5375762.775 -1994.161
55 5016383.64 5375637.784 3.306
55 5016383.2 5375636.703 3.361
55 5016381.454 5375638.515 3.265
9902 5016322.703 5375731.453 2.565
330 5016346.494 5375757.456 2.58
55 5016345.937 5375760.065 2.563
55 5016344.378 5375766.8 2.36
70 5016345.713 5375768.167 2.289
71 5016349.935 5375771.574 2.348
77 5016351.816 5375772.957 2.424
30.7 5016354.099 5375772.112 2.543
31.7 5016354.793 5375771.871 3.2
7.5 5016355.858 5375771.475 3.241
331 5016352.404 5375764.998 3.19
330 5016351.617 5375765.218 2.605
331 5016351.968 5375763.804 3.167
330 5016351.169 5375763.657 2.526
330 5016350.742 5375762.729 2.565
331 5016351.596 5375762.747 3.203
55 5016352.675 5375762.574 3.232
5 5016353.176 5375761.645 3.234
5 5016353.066 5375761.361 3.244
5 5016353.412 5375761.203 3.273
33 5016353.979 5375770.575 10.522
9902 5016322.704 5375731.456 2.564
T102 5016300.546 5375649.999 2.339
40 5016299.764 5375660.627 2.39
12 5016308.273 5375656.675 2.505
330 5016312.11 5375655.279 2.699
331 5016312.826 5375655.06 3.277
55 5016316.361 5375662.022 3.293
5 5016317.334 5375662.373 3.301
5 5016317.406 5375662.696 3.286
331 5016316.941 5375666.241 3.23
330 5016316.145 5375666.545 2.668
77 5016316.861 5375666.725 2.687
77 5016316.807 5375666.457 2.663
6.7 5016318.558 5375666.107 2.593
139 5016320.168 5375666.348 2.625
66 5016319.987 5375667.38 2.584
61 5016317.528 5375667.754 2.619
66 5016319.155 5375668.845 2.6
6 5016326.55 5375691.128 2.426
6 5016326.684 5375691.088 2.426
33 5016334.745 5375688.361 2.412
33 5016338.95 5375686.887 2.405
33 5016332.646 5375682.634 2.414
33 5016336.858 5375681.15 2.409
6 5016332.019 5375681.407 2.39
6 5016331.861 5375681.306 2.401
444 5016337.233 5375678.731 2.4
444 5016337.991 5375678.481 2.397
60 5016342.076 5375687.806 2.406
66 5016337.615 5375675.595 2.354
66 5016337.922 5375675.425 2.364
60 5016337.661 5375675.367 2.362
88 5016337.668 5375675.437 2.112
80-150 5016338.858 5375674.436 2.063
66 5016338.819 5375674.309 2.385
66 5016338.991 5375674.514 2.376
80-150 5016341.387 5375672.634 2.104
66 5016341.053 5375672.651 2.377
60 5016348.414 5375669.025 2.375
60 5016361.561 5375664.165 2.382
60 5016376.391 5375658.803 2.363
60 5016390.169 5375653.867 2.385
60 5016402.327 5375649.495 2.393
3 5016407.676 5375663.055 2.658
6.24 5016400.902 5375638.321 2.548
6.24 5016400.92 5375638.404 2.504
139 5016401.617 5375637.234 2.525
6.24 5016395.118 5375640.397 2.553
7.24 5016394.532 5375638.967 2.549
7 5016394.443 5375638.603 3.126
6.30 5016385.588 5375643.823 2.564
6 5016385.564 5375643.897 2.511
60.30.24 5016384.074 5375644.375 2.559
6.24 5016382.141 5375645.067 2.562
444 5016381.267 5375644.645 2.632
31 5016383.534 5375642.818 3.132
31 5016384.994 5375642.275 3.171
77 5016385.485 5375641.802 3.109
77 5016383.008 5375642.709 3.144
6.24 5016374.65 5375647.745 2.55
6 5016374.794 5375647.815 2.51
6.24 5016368.974 5375649.82 2.539
24.7 5016368.326 5375648.353 2.553
7 5016367.773 5375648.125 3.162
139 5016367.612 5375649.478 2.523
6 5016357.563 5375653.928 2.536
6 5016357.463 5375654.017 2.499
7 5016357.127 5375652.342 2.569
7 5016356.508 5375652.148 3.164
80-50 5016348.281 5375655.525 3.06
6 5016346.105 5375658.014 2.551
6 5016346.11 5375658.088 2.488
7 5016345.694 5375656.472 2.529
7 5016345.858 5375655.975 3.141
444 5016342.507 5375658.645 2.605
444 5016332.013 5375662.246 2.581
139 5016332.964 5375661.91 2.578
6 5016330.877 5375663.445 2.549
7 5016330.557 5375661.877 2.571
7 5016330.454 5375661.528 3.141
139 5016320.176 5375666.376 2.63
30 5016323.948 5375660.852 3.219
30.5 5016323.44 5375659.47 3.216
31 5016321.639 5375661.771 4.659
30 5016320.789 5375662.068 4.678
31 5016318.721 5375662.807 5.932
33 5016317.3 5375663.286 5.932
55- 5016315.857 5375662.153 5.913
30 5016316.652 5375661.539 5.958
30 5016317.571 5375661.195 5.959
3- 5016315.148 5375657.33 8.79
3- 5016316.135 5375657.018 8.79
5-.5- 5016313.216 5375654.638 10.812
55- 5016313.852 5375654.367 10.824
31 5016312.908 5375650.535 13.711
31 5016313.764 5375650.212 13.71
133 5016312.711 5375650.189 13.758
55- 5016312.194 5375649.808 14.119
133 5016318.345 5375648.06 13.668
5- 5016320.764 5375646.771 14.07
133 5016324.004 5375646.036 13.677
133 5016329.644 5375644.044 13.662
31 5016327.354 5375645.145 13.676
31 5016326.526 5375645.549 13.673
3- 5016328.134 5375650.207 10.29
3- 5016329.016 5375649.93 10.28
30 5016329.856 5375655.155 6.853
30 5016330.804 5375654.832 6.861
31 5016329.313 5375655.7 6.862
31 5016328.311 5375656.046 6.851
30 5016328.685 5375657.205 5.976
30 5016329.749 5375656.864 5.969
31 5016331.702 5375654.862 6.846
31 5016332.654 5375654.548 6.848
30 5016333.059 5375655.597 5.94
30 5016331.969 5375656.045 5.924
33 5016332.948 5375657.66 5.932
31 5016334.321 5375657.22 5.936
30 5016336.378 5375656.373 4.661
31 5016337.273 5375656.127 4.62
30 5016339.566 5375655.298 3.208
30.5 5016339.065 5375653.856 3.263
444 5016336.232 5375657.131 3.141
5 5016333.533 5375656.826 3.254
5 5016333.023 5375657.038 3.278
5 5016332.935 5375656.701 3.29
55 5016332.056 5375656.373 3.293
55 5016331.614 5375655.262 3.341
55 5016329.899 5375657.074 3.268
88 5016327.758 5375659.517 3.202
444 5016344.804 5375655.72 3.107
5 5016347.973 5375651.613 3.234
5 5016348.446 5375651.438 3.219
88 5016348.702 5375651.385 3.219
5 5016347.843 5375651.342 3.258
30 5016342.117 5375654.379 3.222
30.5 5016341.56 5375652.941 3.226
31 5016344.39 5375653.573 4.601
30 5016345.255 5375653.217 4.615
31 5016347.284 5375652.536 5.864
31 5016349.528 5375651.723 5.856
30 5016351.547 5375650.967 4.642
31 5016352.437 5375650.659 4.641
30 5016354.704 5375649.823 3.17
30.5 5016354.254 5375648.342 3.153
30 5016348.357 5375650.085 5.901
30 5016347.44 5375650.483 5.931
3- 5016345.957 5375646.243 8.798
3- 5016346.811 5375645.899 8.822
31 5016344.335 5375639.151 13.686
31 5016343.505 5375639.424 13.679
5- 5016343.834 5375638.437 14.085
133 5016341.016 5375639.894 13.684
133 5016335.328 5375641.914 13.683
5- 5016334.618 5375641.723 14.068
133 5016346.641 5375637.854 13.685
133 5016352.331 5375635.758 13.66
5- 5016354.518 5375634.583 14.042
133 5016357.94 5375633.816 13.68
133 5016358.693 5375633.506 13.674
31 5016361.202 5375633.069 13.689
31 5016362.071 5375632.792 13.69
55 5016363.964 5375631.165 14.066
55 5016365.19 5375635.004 11.715
55 5016365.268 5375635.097 11.274
3- 5016363.333 5375639.195 9.31
3- 5016364.283 5375638.865 9.301
55I 5016364.881 5375634.255 11.76
30 5016365.082 5375644.061 5.945
30 5016366.061 5375643.694 5.962
31 5016365.367 5375645.913 5.955
31 5016367.252 5375645.311 5.935
30 5016363.27 5375646.716 4.826
31 5016362.359 5375647 4.826
30 5016360.104 5375647.855 3.208
30.5 5016359.621 5375646.507 3.203
5 5016365.507 5375644.947 -1995.413
5 5016365.633 5375645.248 3.265
5 5016366.122 5375645.069 3.255
30 5016372.516 5375643.331 3.231
31 5016370.205 5375644.224 4.639
30 5016369.308 5375644.527 4.658
444 5016382.146 5375640.93 3.21
5 5016384.157 5375638.224 3.296
5 5016384.302 5375638.502 3.278
5 5016384.778 5375638.339 3.297
444 5016389.339 5375639.885 3.112
31 5016388.582 5375637.586 4.68
30 5016387.696 5375637.892 4.673
31 5016385.665 5375638.623 5.916
33 5016384.216 5375639.183 5.927
30 5016383.576 5375637.486 5.898
30 5016384.559 5375637.008 5.94
31 5016384.143 5375635.969 6.877
31 5016383.33 5375636.27 6.858
30 5016380.788 5375637.216 6.848
30 5016379.978 5375637.425 6.869
30 5016380.315 5375638.587 5.945
30 5016381.271 5375638.229 5.91
30 5016381.516 5375636.602 6.866
30 5016382.371 5375636.242 6.883
31 5016379.893 5375629.568 11.729
31 5016378.988 5375629.868 11.721
5- 5016378.737 5375630.271 11.261
5 5016378.36 5375629.363 -1987.534
888 5016307.818 5375663.872 6.993
55- 5016312.222 5375654.938 -1989.36
55-- 5016315.602 5375660.888 -1982.348
55-- 5016310.643 5375647.122 -1983.445
5-- 5016344.651 5375650.491 -1982.776
5-- 5016384.918 5375635.885 -1982.954
501 5016311.726 5375648.11 -1984.291
501 5016317.413 5375646.106 -1984.317
501 5016323.088 5375644.077 -1984.574
501 5016328.705 5375642.013 -1984.578
501 5016334.346 5375639.965 -1984.656
501 5016340.014 5375637.962 -1984.596
501 5016345.661 5375635.908 -1984.54
501 5016351.314 5375633.868 -1984.568
501 5016356.953 5375631.841 -1984.674
501 5016363.332 5375629.533 -1984.709
511 5016363.684 5375629.42 -1984.653
511 5016358.057 5375631.453 -1984.626
511 5016351.685 5375633.737 -1984.607
511 5016346.02 5375635.782 -1984.97
511 5016340.379 5375637.834 -1984.606
511 5016334.726 5375639.847 -1984.616
511 5016329.075 5375641.888 -1984.638
511 5016323.457 5375643.944 -1984.629
511 5016317.77 5375645.982 -1984.594
511 5016312.084 5375647.976 -1984.516
T101 5016321.792 5375675.873 2.504
T103 5016327.028 5375640.541 3.137
444 5016316.369 5375644.106 3.162
500 5016317.381 5375646.051 3.186
500 5016311.737 5375648.004 3.094
55 5016311.892 5375649.777 2.843
444 5016306.161 5375653.329 2.46
444 5016305.021 5375664.52 2.442
12 5016307.752 5375669.031 2.216
2240 5016308.399 5375674.915 2.143
2240 5016309.695 5375675.825 2.226
2241 5016310.601 5375674.671 2.37
30.5 5016307.965 5375683.342 2.083
12 5016306.463 5375681.949 2.05
7.5 5016302.426 5375681.057 1.971
77 5016302.398 5375680.459 1.93
70 5016301.838 5375677.933 1.854
77 5016302.097 5375680.379 1.967
71 5016301.17 5375672.705 1.87
8.7 5016300.752 5375668.968 2.02
70 5016298.684 5375652.486 2.255
71.2 5016298.478 5375647.56 2.182
80 5016299.141 5375645.097 2.668
81- 5016299.244 5375644.676 3.502
77 5016298.244 5375644.769 2.845
41 5016300.068 5375645.211 2.637
41 5016303.441 5375644.631 2.807
444 5016304.523 5375647.02 2.604
13 5016308.302 5375644.686 2.954
60- 5016309.215 5375642.805 3.117
60- 5016309.336 5375642.921 2.959
