9901 5016474.785 5375731.449 2.381
T101 5016338.143 5375678.045 2.503
V100 5016340.855 5375765.050 2.573
9904K 5016291.379 5375744.503 1.993
6 5016333.885 5375701.454 2.428
6 5016334.100 5375701.561 2.436
133 5016339.577 5375702.696 2.443
133 5016340.132 5375702.669 2.446
133 5016340.196 5375704.374 2.443
133 5016339.649 5375704.435 2.442
133 5016343.373 5375702.445 2.421
133 5016343.800 5375702.435 2.421
133 5016343.340 5375703.600 2.432
133 5016344.918 5375707.684 2.428
133 5016345.076 5375711.593 2.446
6 5016354.751 5375708.615 2.411
6 5016354.953 5375708.637 2.422
444 5016353.557 5375716.026 2.438
6 5016355.728 5375724.924 2.420
6 5016355.533 5375724.905 2.434
6 5016331.402 5375716.644 2.449
6 5016331.140 5375716.605 2.443
66 5016334.288 5375729.564 2.420
66 5016334.067 5375729.727 2.428
80-150 5016334.068 5375729.499 2.553
80-150 5016336.426 5375733.925 2.621
66 5016336.585 5375733.778 2.434
66 5016336.356 5375733.978 2.427
6 5016344.988 5375743.661 2.409
6 5016345.039 5375743.461 2.409
331 5016351.426 5375745.710 2.445
331 5016351.135 5375739.604 2.443
331 5016355.479 5375739.383 2.440
331 5016355.809 5375745.434 2.427
444 5016353.976 5375746.917 2.412
66 5016357.060 5375749.636 2.380
66 5016356.734 5375749.554 2.370
6 5016356.856 5375749.785 2.390
30.88 5016356.776 5375749.646 2.141
81-150 5016358.177 5375749.971 2.322
66 5016358.187 5375750.163 2.406
66 5016358.250 5375749.857 2.395
66 5016361.205 5375750.769 2.397
66 5016361.264 5375750.589 2.397
81 5016361.206 5375750.699 2.345
6 5016365.956 5375751.313 2.388
6 5016365.940 5375750.985 2.403
6 5016379.975 5375750.483 2.400
6 5016379.909 5375750.670 2.401
6 5016381.433 5375761.767 2.524
6 5016381.341 5375761.719 2.487
7 5016381.533 5375763.117 2.449
7 5016381.610 5375763.477 3.131
444 5016372.266 5375762.910 2.462
7 5016368.448 5375764.118 3.114
7 5016368.462 5375763.702 2.439
6 5016369.252 5375762.379 2.531
6 5016369.282 5375762.335 2.490
6.22 5016358.829 5375761.718 2.567
6.22 5016358.863 5375761.700 2.502
139 5016359.501 5375763.127 2.492
7.22 5016358.937 5375764.188 2.544
7 5016358.971 5375764.501 3.096
77.31 5016344.042 5375765.293 3.210
77 5016344.189 5375764.887 2.615
330 5016343.364 5375764.890 2.600
139 5016345.985 5375763.361 2.628
6 5016348.503 5375758.654 2.558
6 5016348.517 5375758.582 2.509
6 5016338.925 5375753.117 2.559
6 5016338.983 5375753.110 2.518
30 5016339.588 5375757.808 2.267
24 5016339.871 5375757.499 2.551
24 5016332.281 5375751.545 2.507
30 5016332.019 5375751.841 2.841
6 5016333.567 5375748.513 2.561
6 5016333.614 5375748.424 2.514
24 5016325.407 5375744.380 2.523
30 5016322.538 5375740.046 2.705
24 5016322.528 5375739.963 2.570
330 5016321.830 5375738.276 2.587
330 5016321.225 5375736.681 2.586
331 5016315.872 5375738.628 4.758
331 5016316.647 5375740.539 4.751
31 5016316.914 5375742.508 4.761
31 5016321.673 5375749.434 4.744
31 5016327.002 5375755.175 4.751
77 5016329.635 5375758.649 4.753
7.5 5016328.667 5375759.851 4.828
7 5016332.885 5375761.411 4.768
77 5016336.042 5375763.793 4.777
7.5 5016335.473 5375764.881 4.876
331 5016337.546 5375763.437 4.653
5 5016326.426 5375757.981 4.793
7.5 5016320.942 5375752.201 4.819
77 5016322.672 5375750.830 4.758
5.5 5016317.415 5375747.207 4.789
77 5016319.389 5375746.717 4.760
77 5016316.882 5375742.605 4.767
30 5016321.176 5375748.431 2.559
24 5016322.901 5375748.355 2.544
24 5016328.969 5375754.930 2.841
30 5016328.159 5375755.945 2.868
30.24 5016336.851 5375762.751 2.068
2.30 5016336.926 5375762.753 2.600
224 5016337.362 5375761.445 2.115
30.5 5016313.306 5375739.501 2.906
55 5016311.159 5375732.083 2.868
30.5 5016310.811 5375730.874 2.560
330 5016318.904 5375729.683 2.473
60 5016324.409 5375735.402 2.568
60 5016324.373 5375735.316 2.507
6 5016320.838 5375724.575 2.577
6 5016320.887 5375724.601 2.497
30- 5016317.506 5375722.181 2.535
